theta,intensity
64.8800,0.266
64.9200,0.268
64.9600,0.260
65.0000,0.242
65.0400,0.284
65.0800,0.269
65.1200,0.261
65.1600,0.298
65.2000,0.285
65.2400,0.290
65.2800,0.287
65.3200,0.284
65.3600,0.310
65.4000,0.308
65.4400,0.303
65.4800,0.283
65.5200,0.306
65.5600,0.310
65.6000,0.296
65.6400,0.292
65.6800,0.301
65.7200,0.325
65.7600,0.336
65.8000,0.346
65.8400,0.343
65.8800,0.328
65.9200,0.338
65.9600,0.338
66.0000,0.356
66.0400,0.365
66.0800,0.385
66.1200,0.388
66.1600,0.377
66.2000,0.383
66.2400,0.411
66.2800,0.386
66.3200,0.396
66.3600,0.442
66.4000,0.446
66.4400,0.466
66.4800,0.470
66.5200,0.491
66.5600,0.498
66.6000,0.527
66.6400,0.525
66.6800,0.549
66.7200,0.587
66.7600,0.578
66.8000,0.596
66.8400,0.615
66.8800,0.619
66.9200,0.648
66.9600,0.661
